src/minimizer/filters/listing.rs:42:    pub fn compact_grep_output_v0_with_a_very_descriptive_function_signature_and_long_arglist(input: &str, ctx: &MinimizerCtx<'_>) -> Result<MinimizerOutput, MinimizerError> {
src/minimizer/filters/listing.rs:43:    pub fn compact_grep_output_v1_with_a_very_descriptive_function_signature_and_long_arglist(input: &str, ctx: &MinimizerCtx<'_>) -> Result<MinimizerOutput, MinimizerError> {
src/minimizer/filters/listing.rs:44:    pub fn compact_grep_output_v2_with_a_very_descriptive_function_signature_and_long_arglist(input: &str, ctx: &MinimizerCtx<'_>) -> Result<MinimizerOutput, MinimizerError> {
src/minimizer/filters/listing.rs:45:    pub fn compact_grep_output_v3_with_a_very_descriptive_function_signature_and_long_arglist(input: &str, ctx: &MinimizerCtx<'_>) -> Result<MinimizerOutput, MinimizerError> {
src/minimizer/filters/listing.rs:46:    pub fn compact_grep_output_v4_with_a_very_descriptive_function_signature_and_long_arglist(input: &str, ctx: &MinimizerCtx<'_>) -> Result<MinimizerOutput, MinimizerError> {
src/minimizer/filters/listing.rs:47:    pub fn compact_grep_output_v5_with_a_very_descriptive_function_signature_and_long_arglist(input: &str, ctx: &MinimizerCtx<'_>) -> Result<MinimizerOutput, MinimizerError> {
src/minimizer/filters/listing.rs:48:    pub fn compact_grep_output_v6_with_a_very_descriptive_function_signature_and_long_arglist(input: &str, ctx: &MinimizerCtx<'_>) -> Result<MinimizerOutput, MinimizerError> {
src/minimizer/filters/listing.rs:49:    pub fn compact_grep_output_v7_with_a_very_descriptive_function_signature_and_long_arglist(input: &str, ctx: &MinimizerCtx<'_>) -> Result<MinimizerOutput, MinimizerError> {
src/minimizer/filters/listing.rs:50:    pub fn compact_grep_output_v8_with_a_very_descriptive_function_signature_and_long_arglist(input: &str, ctx: &MinimizerCtx<'_>) -> Result<MinimizerOutput, MinimizerError> {
src/minimizer/filters/listing.rs:51:    pub fn compact_grep_output_v9_with_a_very_descriptive_function_signature_and_long_arglist(input: &str, ctx: &MinimizerCtx<'_>) -> Result<MinimizerOutput, MinimizerError> {
src/minimizer/filters/listing.rs:52:    pub fn compact_grep_output_v10_with_a_very_descriptive_function_signature_and_long_arglist(input: &str, ctx: &MinimizerCtx<'_>) -> Result<MinimizerOutput, MinimizerError> {
src/minimizer/filters/listing.rs:53:    pub fn compact_grep_output_v11_with_a_very_descriptive_function_signature_and_long_arglist(input: &str, ctx: &MinimizerCtx<'_>) -> Result<MinimizerOutput, MinimizerError> {
src/minimizer/filters/listing.rs:54:    pub fn compact_grep_output_v12_with_a_very_descriptive_function_signature_and_long_arglist(input: &str, ctx: &MinimizerCtx<'_>) -> Result<MinimizerOutput, MinimizerError> {
src/minimizer/filters/listing.rs:55:    pub fn compact_grep_output_v13_with_a_very_descriptive_function_signature_and_long_arglist(input: &str, ctx: &MinimizerCtx<'_>) -> Result<MinimizerOutput, MinimizerError> {
src/minimizer/filters/listing.rs:56:    pub fn compact_grep_output_v14_with_a_very_descriptive_function_signature_and_long_arglist(input: &str, ctx: &MinimizerCtx<'_>) -> Result<MinimizerOutput, MinimizerError> {
src/minimizer/filters/listing.rs:57:    pub fn compact_grep_output_v15_with_a_very_descriptive_function_signature_and_long_arglist(input: &str, ctx: &MinimizerCtx<'_>) -> Result<MinimizerOutput, MinimizerError> {
src/minimizer/filters/listing.rs:58:    pub fn compact_grep_output_v16_with_a_very_descriptive_function_signature_and_long_arglist(input: &str, ctx: &MinimizerCtx<'_>) -> Result<MinimizerOutput, MinimizerError> {
src/minimizer/filters/listing.rs:59:    pub fn compact_grep_output_v17_with_a_very_descriptive_function_signature_and_long_arglist(input: &str, ctx: &MinimizerCtx<'_>) -> Result<MinimizerOutput, MinimizerError> {
src/minimizer/filters/listing.rs:60:    pub fn compact_grep_output_v18_with_a_very_descriptive_function_signature_and_long_arglist(input: &str, ctx: &MinimizerCtx<'_>) -> Result<MinimizerOutput, MinimizerError> {
src/minimizer/filters/listing.rs:61:    pub fn compact_grep_output_v19_with_a_very_descriptive_function_signature_and_long_arglist(input: &str, ctx: &MinimizerCtx<'_>) -> Result<MinimizerOutput, MinimizerError> {
src/minimizer/filters/listing.rs:62:    pub fn compact_grep_output_v20_with_a_very_descriptive_function_signature_and_long_arglist(input: &str, ctx: &MinimizerCtx<'_>) -> Result<MinimizerOutput, MinimizerError> {
src/minimizer/filters/listing.rs:63:    pub fn compact_grep_output_v21_with_a_very_descriptive_function_signature_and_long_arglist(input: &str, ctx: &MinimizerCtx<'_>) -> Result<MinimizerOutput, MinimizerError> {
src/minimizer/filters/listing.rs:64:    pub fn compact_grep_output_v22_with_a_very_descriptive_function_signature_and_long_arglist(input: &str, ctx: &MinimizerCtx<'_>) -> Result<MinimizerOutput, MinimizerError> {
src/minimizer/filters/listing.rs:65:    pub fn compact_grep_output_v23_with_a_very_descriptive_function_signature_and_long_arglist(input: &str, ctx: &MinimizerCtx<'_>) -> Result<MinimizerOutput, MinimizerError> {
src/minimizer/filters/listing.rs:66:    pub fn compact_grep_output_v24_with_a_very_descriptive_function_signature_and_long_arglist(input: &str, ctx: &MinimizerCtx<'_>) -> Result<MinimizerOutput, MinimizerError> {
src/minimizer/filters/listing.rs:67:    pub fn compact_grep_output_v25_with_a_very_descriptive_function_signature_and_long_arglist(input: &str, ctx: &MinimizerCtx<'_>) -> Result<MinimizerOutput, MinimizerError> {
src/minimizer/filters/listing.rs:68:    pub fn compact_grep_output_v26_with_a_very_descriptive_function_signature_and_long_arglist(input: &str, ctx: &MinimizerCtx<'_>) -> Result<MinimizerOutput, MinimizerError> {
src/minimizer/filters/listing.rs:69:    pub fn compact_grep_output_v27_with_a_very_descriptive_function_signature_and_long_arglist(input: &str, ctx: &MinimizerCtx<'_>) -> Result<MinimizerOutput, MinimizerError> {
src/minimizer/filters/listing.rs:70:    pub fn compact_grep_output_v28_with_a_very_descriptive_function_signature_and_long_arglist(input: &str, ctx: &MinimizerCtx<'_>) -> Result<MinimizerOutput, MinimizerError> {
src/minimizer/filters/listing.rs:71:    pub fn compact_grep_output_v29_with_a_very_descriptive_function_signature_and_long_arglist(input: &str, ctx: &MinimizerCtx<'_>) -> Result<MinimizerOutput, MinimizerError> {
src/minimizer/filters/listing.rs:72:    pub fn compact_grep_output_v30_with_a_very_descriptive_function_signature_and_long_arglist(input: &str, ctx: &MinimizerCtx<'_>) -> Result<MinimizerOutput, MinimizerError> {
src/minimizer/filters/listing.rs:73:    pub fn compact_grep_output_v31_with_a_very_descriptive_function_signature_and_long_arglist(input: &str, ctx: &MinimizerCtx<'_>) -> Result<MinimizerOutput, MinimizerError> {
src/minimizer/filters/listing.rs:74:    pub fn compact_grep_output_v32_with_a_very_descriptive_function_signature_and_long_arglist(input: &str, ctx: &MinimizerCtx<'_>) -> Result<MinimizerOutput, MinimizerError> {
src/minimizer/filters/listing.rs:75:    pub fn compact_grep_output_v33_with_a_very_descriptive_function_signature_and_long_arglist(input: &str, ctx: &MinimizerCtx<'_>) -> Result<MinimizerOutput, MinimizerError> {
src/minimizer/filters/listing.rs:76:    pub fn compact_grep_output_v34_with_a_very_descriptive_function_signature_and_long_arglist(input: &str, ctx: &MinimizerCtx<'_>) -> Result<MinimizerOutput, MinimizerError> {
